Timestamp (ms),X (m/s^2),Y (m/s^2),Z (m/s^2),Person_ID
3048338,0.2,0.04,-9.57,Person_1
3048350,0.2,0.0,-9.53,Person_1
3048362,0.2,0.0,-9.45,Person_1
3048374,0.16,0.0,-9.53,Person_1
3048386,0.2,0.0,-9.61,Person_1
3048398,0.16,0.04,-9.53,Person_1
3048410,0.2,0.0,-9.53,Person_1
3048422,0.24,0.0,-9.53,Person_1
3048434,0.2,0.0,-9.57,Person_1
3048446,0.16,0.04,-9.49,Person_1
3048458,0.16,0.0,-9.53,Person_1
3048470,0.16,0.0,-9.57,Person_1
3048482,0.2,0.04,-9.53,Person_1
3048494,0.2,0.04,-9.53,Person_1
3048506,0.16,0.04,-9.53,Person_1
3048518,0.16,0.0,-9.53,Person_1
3048530,0.16,0.04,-9.53,Person_1
3048542,0.24,0.04,-9.61,Person_1
3048554,0.2,0.0,-9.49,Person_1
3048566,0.16,0.04,-9.49,Person_1
3048578,0.2,0.04,-9.53,Person_1
3048590,0.16,0.0,-9.53,Person_1
3048602,0.16,0.04,-9.53,Person_1
3048614,0.2,0.0,-9.49,Person_1
3048626,0.16,0.0,-9.53,Person_1
3048638,0.2,0.04,-9.57,Person_1
3048650,0.2,0.04,-9.57,Person_1
3048662,0.2,0.0,-9.57,Person_1
3048674,0.16,0.0,-9.49,Person_1
3048686,0.24,0.0,-9.57,Person_1
3048698,0.2,0.0,-9.53,Person_1
3048710,0.2,0.0,-9.49,Person_1
3048722,0.2,0.0,-9.57,Person_1
3048734,0.16,0.04,-9.53,Person_1
3048746,0.2,0.04,-9.53,Person_1
3048758,0.2,0.04,-9.53,Person_1
3048770,0.2,0.0,-9.53,Person_1
3048782,0.24,0.04,-9.49,Person_1
3048794,0.24,0.04,-9.49,Person_1
3048806,0.16,0.0,-9.57,Person_1
3048818,0.2,0.0,-9.57,Person_1
3048830,0.2,0.0,-9.57,Person_1
3048842,0.2,0.0,-9.49,Person_1
3048854,0.16,0.0,-9.49,Person_1
3048866,0.16,0.0,-9.53,Person_1
3048878,0.16,0.0,-9.57,Person_1
3048890,0.2,0.04,-9.57,Person_1
3048902,0.16,0.04,-9.53,Person_1
3048914,0.2,0.0,-9.53,Person_1
3048926,0.2,0.04,-9.53,Person_1
3048938,0.2,0.0,-9.53,Person_1
3048950,0.2,0.0,-9.53,Person_1
3048962,0.16,0.0,-9.53,Person_1
3048974,0.2,0.04,-9.53,Person_1
3048986,0.24,0.0,-9.61,Person_1
3048998,0.2,0.0,-9.53,Person_1
3049010,0.16,0.0,-9.57,Person_1
3049022,0.16,0.0,-9.53,Person_1
3049034,0.2,0.0,-9.53,Person_1
3049046,0.2,0.04,-9.53,Person_1
3049058,0.2,0.0,-9.57,Person_1
3049070,0.16,0.0,-9.57,Person_1
3049082,0.16,0.0,-9.57,Person_1
3049094,0.24,0.04,-9.53,Person_1
3049106,0.2,0.04,-9.53,Person_1
3049118,0.16,0.0,-9.57,Person_1
3049130,0.16,0.04,-9.53,Person_1
3049142,0.16,0.04,-9.49,Person_1
3049154,0.2,0.0,-9.57,Person_1
3049166,0.24,0.04,-9.53,Person_1
3049178,0.2,0.04,-9.53,Person_1
3049190,0.24,0.04,-9.57,Person_1
3049202,0.24,0.0,-9.57,Person_1
3049214,0.16,0.04,-9.53,Person_1
3049226,0.2,0.0,-9.49,Person_1
3049238,0.16,0.0,-9.53,Person_1
3049250,0.16,0.0,-9.49,Person_1
3049262,0.2,0.04,-9.57,Person_1
3049274,0.16,0.08,-8.79,Person_1
3049286,0.27,0.16,-9.06,Person_1
3049298,0.16,0.04,-9.38,Person_1
3049310,0.16,0.04,-9.41,Person_1
3049322,0.16,0.0,-9.26,Person_1
3049334,0.16,0.0,-9.77,Person_1
3049346,0.2,0.04,-9.38,Person_1
3049358,0.16,0.04,-9.41,Person_1
3049370,0.24,-0.04,-9.69,Person_1
3049382,0.16,0.04,-9.53,Person_1
3049394,0.2,0.0,-9.53,Person_1
3049406,0.12,0.04,-9.57,Person_1
3049418,0.16,0.04,-9.49,Person_1
3049430,0.16,0.0,-9.49,Person_1
3049442,0.16,0.0,-9.61,Person_1
3049454,0.2,0.0,-9.57,Person_1
3049466,0.24,0.0,-9.57,Person_1
3049478,0.2,0.0,-9.57,Person_1
3049490,0.2,0.0,-9.57,Person_1
3049502,0.2,0.0,-9.61,Person_1
3049514,0.16,0.04,-9.53,Person_1
3049526,0.2,0.04,-9.49,Person_1
3049538,0.24,0.0,-9.57,Person_1
3049550,0.16,0.04,-9.53,Person_1
3049562,0.2,0.0,-9.53,Person_1
3049574,0.16,0.0,-9.53,Person_1
3049586,0.16,0.04,-9.53,Person_1
3049598,0.2,0.0,-9.49,Person_1
3049610,0.2,0.0,-9.49,Person_1
3049622,0.16,0.0,-9.53,Person_1
3049634,0.2,0.04,-9.53,Person_1
3049646,0.16,0.04,-9.57,Person_1
3049658,0.2,0.04,-9.49,Person_1
3049670,0.2,0.04,-9.49,Person_1
3049682,0.16,0.04,-9.53,Person_1
3049694,0.16,0.04,-9.49,Person_1
3049706,0.16,0.0,-9.53,Person_1
3049718,0.2,0.04,-9.53,Person_1
3049730,0.2,0.0,-9.57,Person_1
3049742,0.2,0.0,-9.53,Person_1
3049754,0.16,0.0,-9.49,Person_1
3049766,0.2,0.0,-9.53,Person_1
3049778,0.2,0.04,-9.53,Person_1
3049790,0.2,0.0,-9.57,Person_1
3049802,0.2,0.04,-9.57,Person_1
3049814,0.2,0.0,-9.61,Person_1
3049826,0.16,0.04,-9.57,Person_1
3049838,0.2,0.0,-9.53,Person_1
3049850,0.2,0.0,-9.53,Person_1
3049862,0.16,0.0,-9.53,Person_1
3049874,0.16,0.0,-9.49,Person_1
3049886,0.16,0.0,-9.53,Person_1
3049898,0.24,0.0,-9.53,Person_1
3049910,0.2,0.0,-9.53,Person_1
3049922,0.2,0.04,-9.49,Person_1
3049934,0.16,0.0,-9.57,Person_1
3049946,0.16,0.0,-9.61,Person_1
3049958,0.2,0.04,-9.53,Person_1
3049970,0.2,0.0,-9.61,Person_1
3049982,0.2,0.0,-9.57,Person_1
3049994,0.16,0.04,-9.57,Person_1
3050006,0.2,0.0,-9.53,Person_1
3050018,0.2,0.04,-9.61,Person_1
3050030,0.16,0.04,-9.57,Person_1
3050042,0.16,0.04,-9.53,Person_1
3050054,0.16,0.04,-9.61,Person_1
3050066,0.2,0.0,-9.49,Person_1
3050078,0.16,0.0,-9.57,Person_1
3050090,0.2,0.08,-9.53,Person_1
3050102,0.2,0.04,-9.57,Person_1
3050114,0.2,0.04,-9.53,Person_1
3050126,0.16,0.04,-9.53,Person_1
3050138,0.2,0.0,-9.53,Person_1
3050150,0.2,0.04,-9.49,Person_1
3050162,0.2,0.0,-9.49,Person_1
3050174,0.2,0.0,-9.53,Person_1
3050186,0.2,0.04,-9.53,Person_1
3050198,0.2,0.04,-9.57,Person_1
3050210,0.24,0.0,-9.53,Person_1
3050222,0.2,0.04,-9.53,Person_1
3050234,0.2,0.0,-9.57,Person_1
3050246,0.2,0.04,-9.53,Person_1
3050258,0.24,0.04,-9.49,Person_1
3050270,0.2,0.04,-9.57,Person_1
3050282,0.2,0.0,-9.61,Person_1
3050294,0.2,0.0,-9.53,Person_1
3050306,0.2,0.0,-9.53,Person_1
3050318,0.2,0.0,-9.57,Person_1
3050330,0.2,0.0,-9.49,Person_1
3050342,0.16,0.04,-9.49,Person_1
3050354,0.24,-0.08,-9.85,Person_1
3050366,0.2,0.08,-9.65,Person_1
3050378,0.2,0.0,-9.22,Person_1
3050390,0.16,0.0,-9.69,Person_1
3050402,0.24,-0.04,-9.73,Person_1
3050414,0.2,0.08,-9.57,Person_1
3050426,0.16,0.0,-9.45,Person_1
3050438,0.16,0.0,-9.57,Person_1
3050450,0.24,0.04,-9.57,Person_1
3050462,0.2,0.0,-9.49,Person_1
3050474,0.2,0.0,-9.61,Person_1
3050486,0.2,0.0,-9.61,Person_1
3050498,0.2,0.0,-9.57,Person_1
3050510,0.2,0.0,-9.49,Person_1
3050522,0.16,0.04,-9.61,Person_1
3050534,0.2,-0.04,-9.53,Person_1
3050546,0.2,0.0,-9.49,Person_1
3050558,0.2,0.0,-9.53,Person_1
3050570,0.24,0.0,-9.57,Person_1
3050582,0.2,0.04,-9.53,Person_1
3050594,0.2,0.0,-9.53,Person_1
3050606,0.2,0.0,-9.61,Person_1
3050618,0.2,0.0,-9.57,Person_1
3050630,0.2,0.0,-9.53,Person_1
3050642,0.2,0.04,-9.49,Person_1
3050654,0.24,0.0,-9.57,Person_1
3050666,0.2,0.0,-9.53,Person_1
3050678,0.2,0.04,-9.49,Person_1
3050690,0.2,0.04,-9.53,Person_1
3050702,0.16,0.0,-9.57,Person_1
3050714,0.24,0.0,-9.53,Person_1
3050726,0.2,0.04,-9.49,Person_1
3050738,0.16,0.0,-9.57,Person_1
3050750,0.2,0.0,-9.53,Person_1
3050762,0.2,0.04,-9.53,Person_1
3050774,0.2,0.08,-9.57,Person_1
3050786,0.2,0.0,-9.57,Person_1
3050798,0.2,0.0,-9.57,Person_1
3050810,0.2,0.0,-9.57,Person_1
3050822,0.2,0.04,-9.53,Person_1
3050834,0.16,0.0,-9.57,Person_1
3050846,0.16,-0.04,-9.53,Person_1
3050858,0.2,0.04,-9.53,Person_1
3050870,0.2,0.0,-9.57,Person_1
3050882,0.16,0.04,-9.53,Person_1
3050894,0.16,0.04,-9.53,Person_1
3050906,0.16,0.04,-9.57,Person_1
3050918,0.2,0.0,-9.53,Person_1
3050930,0.16,0.0,-9.49,Person_1
3050942,0.24,0.0,-9.53,Person_1
3050954,0.2,0.0,-9.57,Person_1
3050966,0.2,0.04,-9.57,Person_1
3050978,0.2,0.04,-9.53,Person_1
3050990,0.2,0.04,-9.53,Person_1
3051002,0.2,0.0,-9.53,Person_1
3051014,0.12,0.0,-9.53,Person_1
3051026,0.2,0.04,-9.53,Person_1
3051038,0.16,0.0,-9.57,Person_1
3051050,0.16,0.0,-9.57,Person_1
3051062,0.16,0.0,-9.53,Person_1
3051074,0.24,0.0,-9.49,Person_1
3051086,0.16,0.0,-9.57,Person_1
3051098,0.2,0.0,-9.53,Person_1
3051110,0.16,0.0,-9.49,Person_1
3051122,0.2,0.0,-9.49,Person_1
3051134,0.16,0.04,-9.53,Person_1
3051146,0.2,0.04,-9.53,Person_1
3051158,0.2,0.04,-9.57,Person_1
3051170,0.2,0.04,-9.57,Person_1
3051182,0.2,0.04,-9.53,Person_1
3051194,0.2,0.0,-9.57,Person_1
3051206,0.2,0.04,-9.53,Person_1
3051218,0.2,0.04,-9.57,Person_1
3051230,0.2,0.0,-9.61,Person_1
3051242,0.2,0.04,-9.49,Person_1
3051254,0.2,0.04,-9.49,Person_1
3051266,0.2,0.0,-9.53,Person_1
3051278,0.2,0.04,-9.57,Person_1
3051290,0.24,0.0,-9.49,Person_1
3051302,0.2,0.0,-9.57,Person_1
3051314,0.16,0.04,-9.49,Person_1
3051326,0.24,0.04,-9.96,Person_1
3051338,0.43,0.2,-10.04,Person_1
3051350,0.35,0.0,-10.2,Person_1
3051362,0.24,0.08,-9.41,Person_1
3051374,0.24,0.04,-9.92,Person_1
3051386,0.27,0.0,-10.0,Person_1
3051398,0.16,0.08,-9.34,Person_1
3051410,0.2,-0.08,-9.65,Person_1
3051422,0.2,0.04,-9.49,Person_1
3051434,0.2,0.0,-9.61,Person_1
3051446,0.24,0.0,-9.53,Person_1
3051458,0.16,0.0,-9.65,Person_1
3051470,0.16,0.04,-9.53,Person_1
3051482,0.2,0.04,-9.57,Person_1
3051494,0.16,0.04,-9.45,Person_1
3051506,0.24,0.04,-9.53,Person_1
3051518,0.24,0.0,-9.53,Person_1
3051530,0.2,0.0,-9.45,Person_1
3051542,0.2,-0.04,-9.57,Person_1
3051554,0.2,0.0,-9.61,Person_1
3051566,0.24,0.04,-9.49,Person_1
3051578,0.16,0.0,-9.49,Person_1
3051590,0.2,0.04,-9.65,Person_1
3051602,0.16,0.04,-9.57,Person_1
3051614,0.2,0.04,-9.49,Person_1
3051626,0.16,0.0,-9.49,Person_1
3051638,0.2,0.0,-9.61,Person_1
3051650,0.16,0.0,-9.53,Person_1
3051662,0.2,0.04,-9.53,Person_1
3051674,0.2,0.04,-9.57,Person_1
3051686,0.2,0.0,-9.53,Person_1
3051698,0.16,0.0,-9.49,Person_1
3051710,0.16,0.0,-9.49,Person_1
3051722,0.16,0.0,-9.57,Person_1
3051734,0.2,0.0,-9.53,Person_1
3051746,0.24,0.04,-9.53,Person_1
3051758,0.16,0.04,-9.57,Person_1
3051770,0.2,0.04,-9.49,Person_1
3051782,0.2,0.04,-9.57,Person_1
3051794,0.2,0.04,-9.53,Person_1
3051806,0.2,0.04,-9.49,Person_1
3051818,0.16,0.04,-9.53,Person_1
3051830,0.16,0.04,-9.53,Person_1
3051842,0.2,0.04,-9.57,Person_1
3051854,0.2,0.04,-9.53,Person_1
3051866,0.2,0.0,-9.49,Person_1
3051878,0.2,0.0,-9.57,Person_1
3051890,0.24,0.0,-9.57,Person_1
3051902,0.2,0.0,-9.49,Person_1
3051914,0.24,-0.04,-9.53,Person_1
3051926,0.2,0.04,-9.57,Person_1
3051938,0.16,0.04,-9.57,Person_1
3051950,0.2,0.04,-9.57,Person_1
3051962,0.2,0.0,-9.49,Person_1
3051974,0.2,0.0,-9.57,Person_1
3051986,0.16,0.0,-9.49,Person_1
3051998,0.16,-0.04,-9.53,Person_1
3052010,0.16,0.0,-9.53,Person_1
3052022,0.2,0.04,-9.57,Person_1
3052034,0.16,0.04,-9.57,Person_1
3052046,0.16,0.04,-9.53,Person_1
3052058,0.2,0.04,-9.49,Person_1
3052070,0.24,0.0,-9.53,Person_1
3052082,0.2,0.0,-9.53,Person_1
3052094,0.2,0.04,-9.53,Person_1
3052106,0.16,0.0,-9.53,Person_1
3052118,0.24,0.04,-9.53,Person_1
3052130,0.2,0.0,-9.53,Person_1
3052142,0.2,0.04,-9.53,Person_1
3052154,0.16,0.04,-9.53,Person_1
3052166,0.2,0.04,-9.53,Person_1
3052178,0.2,0.04,-9.53,Person_1
3052190,0.2,0.0,-9.53,Person_1
3052202,0.2,0.0,-9.53,Person_1
3052214,0.16,0.0,-9.49,Person_1
3052226,0.2,0.0,-9.57,Person_1
3052238,0.16,0.04,-9.49,Person_1
3052250,0.16,0.0,-9.53,Person_1
3052262,0.2,0.0,-9.53,Person_1
3052274,0.16,0.0,-9.53,Person_1
3052286,0.24,0.0,-9.53,Person_1
3052298,0.2,0.04,-9.57,Person_1
3052310,0.2,0.0,-9.57,Person_1
3052322,0.2,0.04,-9.53,Person_1
3052334,0.2,0.0,-9.57,Person_1
3052346,0.16,0.0,-9.45,Person_1
3052358,0.16,0.0,-9.57,Person_1
3052370,0.16,0.04,-9.53,Person_1
3052382,0.24,0.0,-9.53,Person_1
3052394,0.16,0.04,-9.53,Person_1
3052406,0.2,0.0,-9.53,Person_1
3052418,0.16,0.04,-9.53,Person_1
3052430,0.16,0.04,-9.3,Person_1
3052442,0.27,0.04,-9.53,Person_1
3052454,0.24,0.0,-9.69,Person_1
3052466,0.16,0.0,-9.34,Person_1
3052478,0.16,0.04,-9.73,Person_1
3052490,0.16,0.0,-9.89,Person_1
3052502,0.2,0.0,-9.3,Person_1
3052514,0.16,-0.04,-9.53,Person_1
3052526,0.16,0.04,-9.45,Person_1
3052538,0.24,0.0,-9.57,Person_1
3052550,0.2,0.0,-9.57,Person_1
3052562,0.16,0.04,-9.61,Person_1
3052574,0.2,0.04,-9.53,Person_1
3052586,0.2,0.04,-9.57,Person_1
3052598,0.24,0.04,-9.41,Person_1
3052610,0.2,0.0,-9.49,Person_1
3052622,0.2,-0.04,-9.57,Person_1
3052634,0.16,0.0,-9.45,Person_1
3052646,0.16,0.0,-9.57,Person_1
3052658,0.2,0.0,-9.65,Person_1
3052670,0.2,0.0,-9.45,Person_1
3052682,0.2,0.04,-9.45,Person_1
3052694,0.16,0.0,-9.57,Person_1
3052706,0.16,0.0,-9.53,Person_1
3052718,0.2,0.04,-9.49,Person_1
3052730,0.2,0.04,-9.57,Person_1
3052742,0.16,0.0,-9.45,Person_1
3052754,0.2,0.0,-9.49,Person_1
3052766,0.2,0.0,-9.53,Person_1
3052778,0.2,0.04,-9.57,Person_1
3052790,0.2,0.0,-9.57,Person_1
3052802,0.16,0.04,-9.53,Person_1
3052814,0.16,0.0,-9.49,Person_1
3052826,0.2,0.0,-9.53,Person_1
3052838,0.16,0.0,-9.53,Person_1
3052850,0.16,0.04,-9.53,Person_1
3052862,0.16,0.04,-9.57,Person_1
3052874,0.2,0.0,-9.53,Person_1
3052886,0.24,0.0,-9.53,Person_1
3052898,0.2,0.0,-9.49,Person_1
3052910,0.2,0.04,-9.53,Person_1
3052922,0.2,0.0,-9.57,Person_1
3052934,0.2,0.0,-9.53,Person_1
3052946,0.2,0.0,-9.49,Person_1
3052958,0.16,0.0,-9.57,Person_1
3052970,0.16,0.04,-9.45,Person_1
3052982,0.16,0.0,-9.53,Person_1
3052994,0.2,0.0,-9.53,Person_1
3053006,0.24,0.0,-9.53,Person_1
3053018,0.16,0.04,-9.57,Person_1
3053030,0.2,0.0,-9.53,Person_1
3053042,0.24,0.0,-9.57,Person_1
3053054,0.16,0.0,-9.53,Person_1
3053066,0.2,0.0,-9.61,Person_1
3053078,0.2,0.0,-9.57,Person_1
3053090,0.16,0.0,-9.53,Person_1
3053102,0.2,0.04,-9.57,Person_1
3053114,0.16,0.0,-9.57,Person_1
3053126,0.2,0.0,-9.53,Person_1
3053138,0.24,0.0,-9.49,Person_1
3053150,0.2,0.04,-9.53,Person_1
3053162,0.2,0.04,-9.53,Person_1
3053174,0.16,0.04,-9.53,Person_1
3053186,0.16,0.0,-9.53,Person_1
3053198,0.2,0.0,-9.53,Person_1
3053210,0.16,0.04,-9.53,Person_1
3053222,0.2,0.04,-9.53,Person_1
3053234,0.16,0.0,-9.53,Person_1
3053246,0.2,0.0,-9.49,Person_1
3053258,0.2,0.0,-9.57,Person_1
3053270,0.2,0.04,-9.53,Person_1
3053282,0.24,0.0,-9.53,Person_1
3053294,0.16,0.04,-9.57,Person_1
3053306,0.2,0.04,-9.57,Person_1
3053318,0.2,0.04,-9.53,Person_1
3053330,0.2,0.04,-9.53,Person_1
3053342,0.24,0.0,-9.53,Person_1
3053354,0.16,0.04,-9.53,Person_1
3053366,0.24,0.04,-9.57,Person_1
3053378,0.16,0.0,-9.53,Person_1
3053390,0.16,0.04,-9.57,Person_1
3053402,0.2,0.0,-9.53,Person_1
3053414,0.2,0.0,-9.53,Person_1
3053426,0.16,0.0,-9.49,Person_1
3053438,0.16,0.0,-9.49,Person_1
3053450,0.2,0.0,-9.53,Person_1
3053462,0.2,0.0,-9.57,Person_1
3053474,0.2,0.0,-9.53,Person_1
3053486,0.16,0.0,-9.53,Person_1
3053498,0.16,0.0,-9.53,Person_1
3053510,0.2,0.08,-9.22,Person_1
3053522,0.24,0.0,-9.34,Person_1
3053534,0.24,0.0,-9.73,Person_1
3053546,0.16,0.0,-9.22,Person_1
3053558,0.16,0.0,-9.77,Person_1
3053570,0.12,0.08,-9.18,Person_1
3053582,0.24,0.0,-9.85,Person_1
3053594,0.16,-0.08,-9.57,Person_1
3053606,0.16,0.0,-9.45,Person_1
3053618,0.2,0.0,-9.57,Person_1
3053630,0.2,0.0,-9.53,Person_1
3053642,0.24,0.0,-9.49,Person_1
