Timestamp(ms),Target Number,Distance(m),Speed(m/s),Energy
369050,1,0.84,-3.77,52
369250,1,0.27,-3.74,72
369450,1,1.5,-3.84,52
369650,1,0.92,-3.83,45
369850,1,0.75,-3.75,41
370050,1,0.46,-3.69,50
370250,1,0.88,0.08,78
370450,1,1.3,-3.83,74
370650,1,0.93,-3.79,74
370850,1,0.57,-3.74,100
371050,1,0.22,-3.67,61
371250,1,1.49,-3.84,74
371450,1,1.11,-3.81,52
371650,1,0.75,-3.77,41
371850,1,0.93,0.03,99
372050,1,1.11,0.11,81
372250,1,1.29,-3.83,52
372450,1,0.93,-3.79,45
372650,1,0.57,-3.73,41
372850,1,0.3,-3.65,74
373050,1,1.49,-3.84,80
373250,1,1.12,-3.81,41
373450,1,0.76,-3.77,58
373650,1,0.4,-3.7,72
373850,1,0.94,0.11,71
374050,1,1.48,-3.83,50
374250,1,1.27,-3.81,61
374450,1,0.95,-3.76,85
374650,1,0.53,-3.71,65
374850,1,1.04,0.04,99
375050,1,1.56,-3.84,74
375250,1,1.05,-3.81,74
375450,1,0.47,-3.79,74
375650,1,0.88,0.08,94
375850,1,1.3,-3.83,61
376050,1,0.93,-3.79,74
376250,1,0.45,-3.73,97
376450,1,0.88,0.1,70
376650,1,1.31,-3.83,52
376850,1,0.93,-3.79,50
377050,1,0.57,-3.74,61
377250,1,0.94,0.1,88
377450,1,1.32,-3.83,41
377650,1,0.94,-3.79,61
377850,1,0.57,-2.19,42
378050,1,0.61,0.06,78
378250,1,0.65,0.06,86
378450,1,0.68,0.11,95
378650,1,0.72,0.04,72
378850,1,0.76,0.01,79
379050,1,0.8,0.23,52
379250,1,0.79,0.23,61
379450,1,0.79,0.13,43
379650,1,0.72,-0.78,41
379850,1,0.66,-0.58,41
380050,1,0.56,-1.07,41
380250,1,0.32,-1.9,41
380450,1,0.7,0.03,75
380650,1,1.09,0.03,74
380850,1,1.47,-3.83,40
381050,1,1.11,-3.81,41
381250,1,1.3,0.11,62
381450,1,1.49,-3.84,41
381650,1,1.11,-3.8,41
381850,1,0.84,-3.76,74
382050,1,0.51,-3.71,80
382250,1,0.9,0.1,77
382450,1,1.3,-3.83,52
382650,1,0.73,-3.81,41
382850,1,0.27,-3.76,41
383050,1,0.78,-0.15,42
383250,1,0.75,-0.05,51
383450,1,0.72,-0.03,59
383650,1,0.71,-0.06,51
383850,1,0.7,0.06,85
384050,1,0.68,0.01,89
384250,1,0.66,0.04,66
384450,1,0.65,0.1,90
384650,1,0.64,0.07,87
384850,1,0.62,0.03,70
385050,1,0.6,0.03,67
385250,1,0.59,-0.15,58
385450,1,0.65,-1.97,65
385650,1,0.65,-2.88,85
385850,1,0.49,-2.37,40
386050,1,0.26,-2.79,100
386250,1,1.51,-3.84,61
386450,1,1.13,-3.81,72
386650,1,0.75,-3.77,52
386850,1,0.4,-3.7,89
387050,1,0.86,0.04,97
387250,1,1.33,-3.83,50
387450,1,0.9,-2.85,40
387650,1,0.45,-3.05,80
387850,1,0.24,-3.23,85
388050,1,1.49,-3.84,52
388250,1,1.11,-3.81,52
388450,1,0.75,-3.77,61
388650,1,0.93,0.07,93
388850,1,1.11,-3.84,41
389050,1,1.0,-3.78,72
389250,1,0.69,-3.73,40
389450,1,0.35,-3.68,65
389650,1,1.5,-3.84,58
389850,1,1.13,-3.81,45
390050,1,0.75,-2.98,80
390250,1,0.45,-3.22,65
390450,1,0.9,0.03,51
390650,1,1.34,-3.83,45
390850,1,0.94,-3.8,41
391050,1,0.58,-3.74,40
391250,1,0.3,-3.65,61
391450,1,1.51,-3.84,52
391650,1,1.13,-3.81,61
391850,1,0.67,-3.76,61
392050,1,0.41,-3.68,50
392250,1,0.76,0.11,87
392450,1,1.1,-3.84,72
392650,1,1.0,-3.78,97
392850,1,0.47,-3.76,45
393050,1,0.3,-3.65,41
393250,1,1.49,-3.84,61
393450,1,1.12,-3.81,72
393650,1,1.31,0.07,94
393850,1,1.49,-3.84,50
394050,1,1.11,-3.8,73
394250,1,0.85,-3.76,52
394450,1,0.52,-3.71,41
394650,1,0.92,0.1,58
394850,1,1.33,-3.83,41
395050,1,0.94,-3.8,65
395250,1,0.67,-3.73,41
395450,1,0.4,-2.36,49
395650,1,0.23,-2.19,50
395850,1,0.02,-1.75,45
396050,1,0.14,0.02,71
396250,1,0.27,0.02,67
396450,1,0.39,0.06,97
396650,1,0.51,0.05,78
396850,1,0.64,0.07,75
397050,1,0.76,0.13,54
397250,1,0.77,0.08,45
397450,1,0.77,0.06,49
397650,1,0.77,0.04,55
397850,1,0.8,0.04,43
398050,1,0.69,-0.52,42
398250,1,0.63,-0.42,40
398450,1,1.56,-3.82,82
398650,1,1.06,-3.8,50
398850,1,0.65,-3.75,65
399050,1,0.28,-3.68,45
399250,1,0.92,0.04,81
399450,1,1.55,-3.81,82
399650,1,1.05,-3.8,80
399850,1,0.55,-3.74,61
400050,1,0.92,0.04,76
400250,1,1.3,-3.83,41
400450,1,0.86,-3.78,45
400650,1,0.48,-3.71,65
400850,1,0.03,-3.66,50
401050,1,0.42,0.02,92
401250,1,0.81,0.0,48
401450,1,0.9,-1.31,58
401650,1,0.85,0.02,79
401850,1,0.79,0.08,72
402050,1,0.74,-0.21,59
402250,1,0.72,0.1,86
402450,1,0.69,0.03,100
402650,1,0.66,0.05,57
402850,1,0.64,0.01,72
403050,1,0.62,0.03,73
403250,1,0.59,0.02,48
403450,1,0.74,0.02,53
403650,1,0.88,0.07,79
403850,1,1.03,0.07,71
404050,1,1.17,0.1,93
404250,1,1.32,-3.83,85
404450,1,0.75,-1.81,44
404650,1,0.7,-1.85,85
404850,1,0.46,-2.48,58
405050,1,0.17,-2.82,50
405250,1,0.88,0.07,87
405450,1,1.6,-3.84,85
405650,1,1.16,-3.81,45
405850,1,0.99,-3.73,40
406050,1,0.65,-3.67,82
406250,1,0.26,-3.62,52
406450,1,1.5,-3.84,72
406650,1,1.12,-3.81,61
406850,1,0.75,-3.77,41
407050,1,0.39,-3.7,41
407250,1,0.98,0.03,87
407450,1,1.57,-3.84,58
407650,1,1.18,-3.81,73
407850,1,0.65,-3.76,50
408050,1,0.34,-3.67,74
408250,1,2.04,-3.84,100
408450,1,1.47,-3.83,41
408650,1,1.05,-3.76,40
408850,1,0.86,-3.67,100
409050,1,0.45,-3.64,72
409250,1,0.96,0.05,64
409450,1,1.47,-3.83,72
409650,1,1.11,-3.81,58
409850,1,0.65,-3.76,52
410050,1,0.28,-3.69,82
410250,1,1.49,-3.84,72
410450,1,1.48,-3.8,82
410650,1,0.96,-3.78,85
410850,1,0.54,-3.72,41
411050,1,1.02,0.08,98
411250,1,1.51,-3.84,41
411450,1,1.12,-3.81,50
411650,1,0.75,-3.77,45
411850,1,0.39,-3.7,74
412050,1,0.84,0.06,60
412250,1,1.3,-3.83,52
412450,1,0.92,-3.79,61
412650,1,0.66,-3.71,90
412850,1,0.43,-3.62,40
413050,1,0.88,0.04,53
413250,1,1.33,-3.83,61
413450,1,0.88,-3.78,61
413650,1,0.62,-3.72,41
413850,1,0.31,-3.66,52
414050,1,1.5,-3.84,74
414250,1,0.81,-1.26,72
414450,1,0.63,-0.69,77
414650,1,0.54,-0.43,54
414850,1,0.51,-0.28,82
415050,1,0.5,-0.21,56
415250,1,0.48,-0.16,79
415450,1,0.53,0.1,78
415650,1,0.57,0.04,78
415850,1,0.62,0.1,63
416050,1,0.67,0.09,71
416250,1,0.71,0.07,69
416450,1,0.76,0.15,74
416650,1,0.77,0.09,47
416850,1,0.78,0.08,63
417050,1,0.79,0.0,41
417250,1,0.9,-1.24,41
417450,1,0.77,-1.57,65
417650,1,0.52,-2.06,45
417850,1,0.3,-2.61,58
418050,1,0.8,0.08,67
418250,1,1.3,-3.83,40
418450,1,0.93,-3.79,50
418650,1,0.56,-3.74,52
418850,1,0.84,0.04,61
419050,1,1.12,-3.84,65
419250,1,0.99,-3.78,40
419450,1,0.46,-3.76,40
419650,1,0.37,-3.64,41
419850,1,0.5,0.05,57
420050,1,0.62,0.05,95
420250,1,0.75,0.0,55
420450,1,0.75,-0.04,68
420650,1,0.95,-0.06,46
420850,1,0.91,-0.09,53
421050,1,0.91,0.02,76
421250,1,0.9,0.09,80
421450,1,0.9,0.03,71
421650,1,0.9,0.09,73
421850,1,0.9,0.1,72
422050,1,0.89,0.09,84
422250,1,0.89,-1.86,64
422450,1,0.83,-2.51,40
422650,1,0.61,-2.14,44
422850,1,0.41,-2.69,52
423050,1,0.86,0.05,61
423250,1,1.31,-3.83,41
423450,1,0.93,-3.79,52
423650,1,0.88,-2.36,74
423850,1,0.55,-2.81,74
424050,1,0.22,-3.05,45
424250,1,1.51,-3.84,50
424450,1,1.13,-3.81,85
424650,1,0.56,-3.79,65
424850,1,0.43,-3.67,41
425050,1,0.49,0.07,70
425250,1,0.55,0.03,74
425450,1,0.61,0.02,43
425650,1,0.59,-0.94,100
425850,1,0.59,-0.55,42
426050,1,0.58,-0.34,51
426250,1,0.49,-0.75,40
426450,1,1.5,-3.84,73
426650,1,1.12,-3.81,61
426850,1,0.75,-3.77,72
427050,1,0.4,-3.7,61
427250,1,0.94,0.04,60
427450,1,1.49,-3.84,74
427650,1,1.11,-3.81,65
427850,1,0.75,-3.77,58
428050,1,0.4,-3.7,41
428250,1,0.85,0.11,56
428450,1,1.3,-3.83,74
428650,1,1.06,-3.79,89
428850,1,0.65,-3.74,68
429050,1,0.28,-3.67,50
429250,1,0.6,0.05,69
429450,1,0.92,-1.93,45
429650,1,0.62,-0.91,45
429850,1,0.55,-2.03,89
430050,1,0.44,-1.27,44
430250,1,0.52,0.08,87
430450,1,0.59,0.05,59
430650,1,0.66,0.09,78
430850,1,0.74,0.01,43
431050,1,1.0,-2.55,41
431250,1,0.74,-2.18,47
431450,1,0.56,-2.46,40
431650,1,0.31,-1.88,58
431850,1,0.17,-1.4,51
432050,1,0.29,0.08,99
432250,1,0.41,0.09,64
432450,1,0.52,0.03,66
432650,1,0.64,0.01,63
432850,1,0.76,0.24,74
433050,1,0.76,0.06,69
433250,1,0.77,0.08,52
433450,1,0.77,0.01,42
433650,1,0.79,0.01,46
433850,1,0.77,-0.8,58
434050,1,0.58,-1.82,41
434250,1,0.32,-2.4,53
434450,1,0.81,0.03,65
434650,1,1.3,-3.83,61
434850,1,0.93,-3.79,50
435050,1,0.37,-3.77,50
435250,1,1.5,-3.84,41
435450,1,1.5,0.05,51
435650,1,1.5,-3.84,58
435850,1,1.12,-3.8,68
436050,1,0.62,-3.78,41
436250,1,0.83,0.05,56
436450,1,1.04,-1.93,40
436650,1,0.89,-2.9,41
436850,1,0.57,-2.12,45
437050,1,0.62,0.09,56
437250,1,0.68,0.08,60
437450,1,0.73,-0.17,88
437650,1,0.7,0.04,82
437850,1,0.67,0.08,65
438050,1,0.64,0.08,83
438250,1,0.61,0.07,96
438450,1,0.58,0.1,52
438650,1,0.55,0.07,100
438850,1,0.52,0.0,72
439050,1,0.68,-1.3,45
439250,1,0.58,-0.7,65
439450,1,0.53,-0.43,44
439650,1,0.51,-0.28,49
439850,1,0.5,-0.18,48
440050,1,0.49,-0.12,46
440250,1,1.49,-3.84,45
440450,1,1.12,-3.81,50
440650,1,0.56,-3.79,40
440850,1,0.34,-3.68,45
441050,1,0.82,0.06,78
441250,1,1.31,-3.83,74
441450,1,0.96,-3.79,50
441650,1,0.48,-3.73,74
441850,1,0.72,0.06,75
442050,1,0.97,-1.93,60
442250,1,0.66,-0.92,44
442450,1,0.57,-0.54,54
442650,1,0.53,-0.34,49
442850,1,0.52,-0.22,57
443050,1,0.56,-0.12,43
443250,1,0.56,-0.09,42
443450,1,1.31,-3.83,72
443650,1,0.93,-3.79,89
443850,1,0.57,-3.74,52
692850,1,0.59,0.0,66
693050,1,0.62,0.01,51
693250,1,0.65,0.01,50
693450,1,0.67,0.02,41
693650,1,0.69,0.02,40
693850,1,0.7,0.02,40
694050,1,1.6,-3.81,40
694250,1,1.33,-3.74,40
694450,1,2.19,-3.69,40
694650,1,1.6,-3.76,40
694850,1,1.31,-3.73,40
695050,1,0.73,-3.7,61
695250,1,0.57,-3.58,40
695450,1,0.28,-3.51,40
695650,1,1.52,-3.84,41
695850,1,1.0,-2.5,41
696050,1,0.8,-2.82,40
696250,1,0.76,-3.11,40
696450,1,0.45,-3.14,40
696650,1,0.26,-3.22,52
696850,1,2.21,-3.84,40
697050,1,1.65,-3.83,40
697250,1,1.29,-3.78,45
697450,1,1.07,-3.69,40
697650,1,0.7,-3.64,40
697850,1,0.43,-3.55,40
698050,1,1.15,0.09,70
698250,1,1.87,1.2,40
698450,1,1.17,0.99,49
698650,1,1.05,0.52,60
698850,1,1.06,0.41,51
699050,1,0.99,0.06,62
699250,1,0.92,0.08,60
699450,1,0.84,0.1,88
699650,1,0.77,0.24,98
699850,1,0.78,0.16,62
700050,1,0.79,0.09,44
700250,1,0.85,-0.56,41
700450,1,0.8,-0.37,45
700650,1,0.66,-0.94,40
700850,1,0.46,-1.44,40
701050,1,0.33,-2.09,40
701250,1,0.92,0.09,77
701450,1,1.52,-3.84,81
701650,1,1.12,-3.8,40
701850,1,0.96,-3.7,90
702050,1,0.83,-3.64,40
702250,1,0.7,-3.57,40
702450,1,0.48,-3.51,82
702650,1,0.29,-3.42,40
702850,1,2.23,-3.84,40
703050,1,1.74,-3.82,40
703250,1,1.39,-3.77,40
703450,1,1.02,-3.71,40
703650,1,0.7,-3.62,40
703850,1,0.34,-3.57,49
704050,1,2.23,-3.84,40
704250,1,1.82,-3.82,40
704450,1,1.32,-2.9,40
704650,1,1.06,-2.54,40
704850,1,1.0,0.01,91
705050,1,0.93,0.1,87
705250,1,0.86,0.08,86
705450,1,0.8,-0.11,44
705650,1,0.95,-1.96,50
705850,1,0.78,-1.22,42
706050,1,0.73,-0.64,41
706250,1,0.8,0.02,85
706450,1,0.86,0.05,85
706650,1,0.93,0.03,68
706850,1,1.0,0.01,42
707050,1,0.88,0.07,85
707250,1,0.75,0.02,45
707450,1,1.5,0.09,41
707650,1,1.76,0.1,41
707850,1,1.62,-0.71,40
708050,1,1.39,-1.07,40
708250,1,1.14,-1.54,40
708450,1,0.82,-2.26,40
708650,1,0.8,0.04,66
708850,1,0.78,0.02,74
709050,1,0.77,0.03,79
709250,1,0.75,-0.09,62
709450,1,0.74,-0.14,63
709650,1,0.7,0.1,92
709850,1,0.65,0.06,80
710050,1,0.6,0.06,87
710250,1,0.56,-0.22,42
710450,1,0.53,-0.16,86
710650,1,0.51,-0.09,46
710850,1,0.56,-0.74,40
711050,1,0.5,-0.48,44
711250,1,2.1,-3.84,40
711450,1,1.51,-3.83,40
711650,1,1.67,-3.73,40
711850,1,0.53,0.01,47
712050,1,0.52,0.01,44
712250,1,0.52,0.01,44
712450,1,0.52,0.01,45
712650,1,1.49,-3.84,58
712850,1,1.36,-3.81,52
713050,1,0.89,-3.78,40
713250,1,0.38,-3.72,58
713450,1,1.5,-3.84,85
713650,1,1.36,-3.81,41
713850,1,0.89,-3.78,74
714050,1,0.49,-3.72,50
714250,1,0.2,-3.63,41
714450,1,1.49,-3.84,41
714650,1,1.36,-3.81,80
714850,1,0.89,-3.78,61
715050,1,0.61,-2.96,66
715250,1,0.4,-1.86,64
715450,1,0.47,0.08,98
715650,1,0.55,0.09,62
715850,1,0.62,0.1,60
716050,1,0.7,0.06,86
716250,1,0.77,0.25,46
716450,1,0.87,0.25,54
716650,1,0.92,0.18,41
716850,1,0.96,-0.59,41
717050,1,0.89,-1.19,40
717250,1,1.27,0.05,52
717450,1,1.66,-3.77,45
717650,1,1.4,-3.76,97
717850,1,1.01,-3.73,52
718050,1,0.61,-3.68,45
718250,1,0.38,-3.57,40
718450,1,1.03,0.01,67
718650,1,1.68,-3.85,45
718850,1,1.54,0.09,96
719050,1,1.4,0.08,83
719250,1,1.26,0.04,50
719450,1,1.12,-3.84,53
719650,1,1.28,0.11,74
719850,1,1.44,0.03,51
720050,1,1.6,-3.81,90
720250,1,1.11,-1.8,40
720450,1,0.95,-1.06,41
720650,1,0.89,-0.67,40
720850,1,0.82,-1.24,100
721050,1,0.65,-1.68,40
721250,1,0.39,-2.29,90
721450,1,0.25,-2.59,40
721650,1,0.98,0.08,76
721850,1,1.7,-3.83,82
722050,1,1.44,-3.78,40
722250,1,1.1,-3.75,52
722450,1,0.7,-3.66,40
722650,1,0.6,-3.53,100
722850,1,0.33,-3.48,53
723050,1,2.07,-3.84,40
723250,1,1.5,-3.82,40
723450,1,1.09,-3.77,89
723650,1,0.79,-3.68,40
723850,1,0.36,-3.64,45
724050,1,2.47,-3.84,40
724250,1,2.02,-3.81,40
724450,1,1.27,-1.86,41
724650,1,0.98,-1.13,60
724850,1,0.8,-0.94,68
725050,1,0.68,-0.79,54
725250,1,0.54,-0.7,95
725450,1,0.54,0.05,94
725650,1,0.53,0.07,85
725850,1,0.53,0.05,56
726050,1,0.52,0.09,59
726250,1,0.52,-0.2,54
726450,1,0.95,-1.33,40
726650,1,0.71,-0.75,46
726850,1,1.4,0.07,72
727050,1,2.09,-3.84,100
727250,1,0.97,-1.28,44
727450,1,0.73,-0.93,44
727650,1,0.74,-1.24,43
727850,1,0.72,-2.05,40
728050,1,0.43,-2.3,40
728250,1,0.02,-2.55,41
728450,1,2.23,-3.84,40
728650,1,1.36,-3.84,58
728850,1,1.44,0.06,55
729050,1,1.52,-3.84,50
729250,1,1.49,-3.77,40
729450,1,1.42,-3.73,40
729650,1,0.9,-2.24,67
729850,1,0.65,-1.44,82
730050,1,0.46,-1.15,60
730250,1,0.53,0.06,58
730450,1,0.6,0.07,85
730650,1,0.67,0.01,75
730850,1,0.74,0.31,51
731050,1,0.86,0.1,94
731250,1,0.99,0.29,54
731450,1,0.87,0.19,45
731650,1,0.87,0.13,43
731850,1,0.95,-1.45,40
732050,1,0.83,-2.2,40
732250,1,0.45,-2.48,50
732450,1,0.98,0.1,95
732650,1,1.51,-3.84,49
732850,1,1.31,-3.8,40
733050,1,0.99,-3.72,40
733250,1,0.59,-3.66,100
733450,1,0.2,-3.59,40
733650,1,2.06,-3.84,40
733850,1,1.69,-3.8,40
734050,1,1.75,0.08,74
734250,1,1.8,0.11,88
734450,1,1.86,-3.83,40
734650,1,1.54,-3.79,40
734850,1,1.06,-3.76,52
735050,1,0.68,-3.68,40
735250,1,0.17,-3.64,40
735450,1,2.23,-3.84,40
735650,1,1.61,-3.84,45
735850,1,1.21,-3.76,40
736050,1,1.0,-3.67,40
736250,1,0.59,-3.59,40
736450,1,0.33,-3.52,49
736650,1,2.23,-3.84,40
736850,1,1.76,-3.81,40
737050,1,1.25,-3.79,40
737250,1,0.66,-3.76,40
737450,1,0.67,-2.05,43
737650,1,0.68,0.03,90
737850,1,0.69,0.09,50
738050,1,0.7,0.11,58
738250,1,0.71,0.05,84
738450,1,0.72,0.06,86
738650,1,0.73,0.09,96
738850,1,0.74,-0.23,43
739050,1,0.67,0.09,76
739250,1,0.59,0.08,65
739450,1,0.52,0.0,51
739650,1,1.19,-1.86,40
739850,1,1.02,-1.9,40
740050,1,0.88,-2.31,40
740250,1,0.61,-2.06,46
740450,1,0.24,-2.36,65
740650,1,2.26,-3.84,40
740850,1,1.38,-2.58,82
741050,1,1.28,-3.07,40
741250,1,0.9,-3.3,41
741450,1,0.44,-3.33,40
741650,1,0.7,0.04,54
741850,1,0.95,-1.94,43
742050,1,1.09,-2.89,50
742250,1,0.86,-3.19,40
742450,1,0.56,-3.21,40
742650,1,0.43,-3.24,40
742850,1,0.24,-2.11,43
743050,1,0.16,-1.37,56
743250,1,0.14,-0.88,45
743450,1,0.15,-0.56,44
743650,1,0.18,-0.34,57
743850,1,0.22,-0.19,82
744050,1,0.26,-0.1,65
744250,1,0.3,-0.04,44
744450,1,0.34,-0.01,48
744650,1,0.36,0.0,44
744850,1,0.83,0.03,55
745050,1,1.3,-3.83,40
745250,1,0.93,-3.79,50
745450,1,0.55,-2.94,43
745650,1,0.19,-2.33,46
745850,1,2.23,-3.84,40
746050,1,1.79,-3.82,40
746250,1,1.52,-1.78,52
746450,1,1.31,-2.54,40
746650,1,0.96,-2.24,52
746850,1,0.71,-1.49,61
747050,1,0.57,-0.99,44
747250,1,0.49,-0.66,86
747450,1,0.46,-0.43,44
747650,1,0.45,-0.27,90
747850,1,0.47,-0.16,61
748050,1,0.46,-0.11,87
748250,1,0.48,-0.02,40
748450,1,0.55,0.01,88
748650,1,0.62,0.11,92
748850,1,0.7,0.04,51
749050,1,0.77,0.02,67
749250,1,0.84,0.24,44
749450,1,0.81,0.17,53
749650,1,0.8,0.05,43
749850,1,0.8,0.04,44
750050,1,0.8,-0.72,40
750250,1,0.69,-1.69,40
750450,1,0.41,-2.0,40
750650,1,0.26,-2.44,40
750850,1,1.06,0.1,88
751050,1,1.87,-3.84,40
751250,1,1.42,-3.82,68
751450,1,0.97,-3.77,100
751650,1,1.41,0.11,58
751850,1,1.85,-3.83,40
752050,1,1.49,-3.79,40
752250,1,0.93,-3.77,40
752450,1,0.47,-3.69,40
752650,1,0.27,-3.56,52
752850,1,1.12,0.09,74
753050,1,1.97,-3.83,40
753250,1,1.45,-3.82,45
753450,1,1.13,-3.74,40
753650,1,0.74,-3.68,40
753850,1,0.43,-3.59,40
754050,1,1.32,0.02,50
754250,1,2.21,-3.83,40
754450,1,1.65,-3.83,40
754650,1,1.78,0.06,50
754850,1,1.92,0.06,93
755050,1,2.05,-3.84,40
755250,1,1.74,-3.81,40
755450,1,1.31,-3.75,40
755650,1,0.91,-3.7,40
755850,1,0.56,-3.63,97
756050,1,0.32,-3.54,100
756250,1,0.99,0.1,54
756450,1,1.66,-3.81,40
756650,1,1.36,-3.74,40
